year,month,day,hour,minute,second,freq_MHz,utc_hr
2017,8,20,15,11,8.8,10000000.0004,15.18577778
2017,8,20,15,11,20.7,10000000.0020,15.18908333
2017,8,20,15,11,32.6,10000000.0033,15.19238889
2017,8,20,15,11,44.5,10000000.0043,15.19569444
2017,8,20,15,11,56.3,10000000.0055,15.19897222
2017,8,20,15,12,8.2,10000000.0080,15.20227778
2017,8,20,15,12,20.1,10000000.0093,15.20558333
2017,8,20,15,12,32.1,10000000.0123,15.20891667
2017,8,20,15,12,44,10000000.0119,15.21222222
2017,8,20,15,12,55.8,10000000.0084,15.2155
2017,8,20,15,13,7.7,10000000.0101,15.21880556
2017,8,20,15,13,19.6,10000000.0062,15.22211111
2017,8,20,15,13,31.5,10000000.0089,15.22541667
2017,8,20,15,13,43.3,10000000.0106,15.22869444
2017,8,20,15,13,55.2,10000000.1305,15.232
2017,8,20,15,14,7.1,10000000.1300,15.23530556
2017,8,20,15,14,19,10000000.1283,15.23861111
2017,8,20,15,14,30.9,9999999.9980,15.24191667
2017,8,20,15,14,42.8,10000000.0250,15.24522222
2017,8,20,15,14,54.7,10000000.0307,15.24852778
2017,8,20,15,15,6.6,10000000.0483,15.25183333
2017,8,20,15,15,18.5,10000000.0004,15.25513889
2017,8,20,15,15,30.3,10000000.0033,15.25841667
2017,8,20,15,15,42.2,10000000.0537,15.26172222
2017,8,20,15,15,54.1,10000000.0668,15.26502778
2017,8,20,15,16,6,10000000.1373,15.26833333
2017,8,20,15,16,17.9,10000000.0896,15.27163889
2017,8,20,15,16,29.8,10000000.1063,15.27494444
2017,8,20,15,16,41.7,10000000.0045,15.27825
2017,8,20,15,16,53.6,10000000.0048,15.28155556
2017,8,20,15,17,5.5,10000000.0038,15.28486111
2017,8,20,15,17,17.3,10000000.0040,15.28813889
2017,8,20,15,17,29.2,10000000.0728,15.29144444
2017,8,20,15,17,41.1,10000000.0680,15.29475
2017,8,20,15,17,53,10000000.0625,15.29805556
2017,8,20,15,18,4.9,10000000.0029,15.30136111
2017,8,20,15,18,16.8,10000000.0048,15.30466667
2017,8,20,15,18,28.7,10000000.0047,15.30797222
2017,8,20,15,18,40.6,10000000.0078,15.31127778
2017,8,20,15,18,52.4,10000000.0059,15.31455556
2017,8,20,15,19,4.3,10000000.0050,15.31786111
2017,8,20,15,19,16.2,10000000.0059,15.32116667
2017,8,20,15,19,28.1,10000000.0076,15.32447222
2017,8,20,15,19,40,10000000.0116,15.32777778
2017,8,20,15,19,51.9,10000000.0282,15.33108333
2017,8,20,15,20,3.8,10000000.0510,15.33438889
2017,8,20,15,20,15.7,10000000.0057,15.33769444
2017,8,20,15,20,27.6,10000000.0040,15.341
2017,8,20,15,20,39.4,10000000.0648,15.34427778
2017,8,20,15,20,51.3,10000000.0847,15.34758333
2017,8,20,15,21,3.2,10000000.0769,15.35088889
2017,8,20,15,21,15.1,10000000.0043,15.35419444
2017,8,20,15,21,27,10000000.0046,15.3575
2017,8,20,15,21,38.9,9999999.9996,15.36080556
2017,8,20,15,21,50.8,9999999.9992,15.36411111
2017,8,20,15,22,2.7,9999999.9962,15.36741667
2017,8,20,15,22,14.6,10000000.0004,15.37072222
2017,8,20,15,22,26.4,10000000.0003,15.374
2017,8,20,15,22,38.3,9999999.9994,15.37730556
2017,8,20,15,22,50.2,10000000.1088,15.38061111
2017,8,20,15,23,2.1,10000000.0038,15.38391667
2017,8,20,15,23,14,10000000.0066,15.38722222
2017,8,20,15,23,25.9,10000000.1055,15.39052778
2017,8,20,15,23,37.8,10000000.0067,15.39383333
2017,8,20,15,23,49.7,9999999.9915,15.39713889
2017,8,20,15,24,1.6,10000000.0003,15.40044444
2017,8,20,15,24,13.4,10000000.0118,15.40372222
2017,8,20,15,24,25.3,10000000.0047,15.40702778
2017,8,20,15,24,37.2,10000000.0188,15.41033333
2017,8,20,15,24,49.1,10000000.0219,15.41363889
2017,8,20,15,25,1,10000000.0095,15.41694444
2017,8,20,15,25,12.9,10000000.0090,15.42025
2017,8,20,15,25,24.8,10000000.0004,15.42355556
2017,8,20,15,25,36.7,10000000.0087,15.42686111
2017,8,20,15,25,48.6,10000000.0055,15.43016667
2017,8,20,15,26,0.4,10000000.0100,15.43344444
2017,8,20,15,26,12.3,10000000.0027,15.43675
2017,8,20,15,26,24.2,9999999.9695,15.44005556
2017,8,20,15,26,36.1,9999999.9840,15.44336111
2017,8,20,15,26,48,9999999.9915,15.44666667
2017,8,20,15,26,59.9,9999999.9866,15.44997222
2017,8,20,15,27,11.8,10000000.0244,15.45327778
2017,8,20,15,27,23.7,10000000.0227,15.45658333
2017,8,20,15,27,35.5,10000000.0081,15.45986111
2017,8,20,15,27,47.4,10000000.0021,15.46316667
2017,8,20,15,27,59.3,10000000.0508,15.46647222
2017,8,20,15,28,11.2,10000000.0253,15.46977778
2017,8,20,15,28,23.1,10000000.0111,15.47308333
2017,8,20,15,28,35,10000000.0053,15.47638889
2017,8,20,15,28,46.9,10000000.0104,15.47969444
2017,8,20,15,28,58.8,10000000.0263,15.483
2017,8,20,15,29,10.7,10000000.0192,15.48630556
2017,8,20,15,29,22.5,10000000.0080,15.48958333
2017,8,20,15,29,34.4,10000000.0011,15.49288889
2017,8,20,15,29,46.3,9999999.9977,15.49619444
2017,8,20,15,29,58.2,9999999.9944,15.4995
2017,8,20,15,30,10.1,9999999.9941,15.50280556
2017,8,20,15,30,22,9999999.9922,15.50611111
2017,8,20,15,30,33.9,9999999.9917,15.50941667
2017,8,20,15,30,45.8,9999999.9913,15.51272222
2017,8,20,15,30,57.7,9999999.9930,15.51602778
2017,8,20,15,31,9.5,9999999.9958,15.51930556
2017,8,20,15,31,21.4,9999999.9965,15.52261111
2017,8,20,15,31,33.3,9999999.9995,15.52591667
2017,8,20,15,31,45.2,9999999.9983,15.52922222
2017,8,20,15,31,57.1,10000000.0020,15.53252778
2017,8,20,15,32,9,10000000.0026,15.53583333
2017,8,20,15,32,20.9,10000000.0911,15.53913889
2017,8,20,15,32,32.8,10000000.0496,15.54244444
2017,8,20,15,32,44.6,10000000.0118,15.54572222
2017,8,20,15,32,56.5,10000000.0095,15.54902778
2017,8,20,15,33,8.4,10000000.0050,15.55233333
2017,8,20,15,33,20.3,10000000.0055,15.55563889
